"trial","ref_position","var_area","response","correct","rt"
1,"L",9.6364034039434,"L",FALSE,5.99199986457825
2,"L",9.56317941565067,"R",TRUE,3.57800006866455
3,"L",12.0345897206571,"R",TRUE,1.79699993133545
4,"R",11.3714366494678,"L",TRUE,1.68200016021729
5,"L",8.33717883960344,"L",TRUE,1.8970000743866
6,"R",9.15517732407898,"L",TRUE,2.09300017356873
7,"R",12.2147006536834,"L",TRUE,1.69800019264221
8,"L",14.278759645531,"R",TRUE,1.36899995803833
9,"L",8.53017411800101,"L",TRUE,1.58500003814697
10,"L",13.4665318990592,"R",TRUE,1.58800005912781
11,"R",13.6777862729505,"L",TRUE,1.4850001335144
12,"R",11.2239472458605,"L",TRUE,1.59499979019165
13,"R",10.2509169282857,"L",TRUE,1.69099998474121
14,"L",14.9730215745512,"R",TRUE,1.49199986457825
15,"R",10.0490590136033,"L",TRUE,1.38600015640259
16,"L",10.4236108867917,"R",TRUE,3.67599987983704
17,"R",9.91028488008305,"L",TRUE,1.6029999256134
18,"R",12.5624183090404,"L",TRUE,1.40700006484985
19,"R",13.6881425397005,"L",TRUE,1.48900008201599
20,"R",14.8190324723255,"L",TRUE,1.38699984550476
21,"R",10.7923518486787,"L",TRUE,1.68799996376038
22,"L",12.4021835131571,"R",TRUE,1.6949999332428
23,"R",13.1968469035346,"L",TRUE,1.58200001716614
24,"R",10.5673463663552,"L",TRUE,1.79200005531311